ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"168.205.218.90","elite","AS264869","BR","SPEED MAX TELECOMUNICAÔÔES LTDA ME","293","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","4398","1","2023-05-25T12:46:42.500Z","80","1455","1822"
"51.38.93.100","anonymous","AS16276","GB","OVH SAS","10","Regxa LTD","3128","https","4595","886","2023-05-25T12:46:42.309Z","100","1854","1854"
"103.236.161.51","elite","AS45720","ID","Lembaga Pengelola Dana Bergulir","189","Lembaga Pengelola Dana Bergulir","5430","socks4","5104","1","2023-05-25T12:46:42.503Z","99","1815","1827"
"50.116.60.215","elite","AS63949","US","Akamai Technologies, Inc.","85","Linode","7497","socks5","4504","1","2023-05-25T12:46:39.004Z","100","1844","1846"
"104.21.218.103","elite","AS13335","CA","Cloudflare, Inc.","83","Cloudflare, Inc.","80","socks4","4294","2","2023-05-25T12:46:38.913Z","100","1771","1771"
"8.210.206.107","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","286","Alibaba.com Singapore E-Commerce Private Limited","59394","socks4","4389","1","2023-05-25T12:46:38.916Z","69","1265","1827"
"117.241.135.33","elite","AS9829","IN","BSNL Internet","201","N/A","5678","socks4","1606","1","2023-05-25T12:46:38.998Z","97","1802","1853"
"51.89.45.60","elite","AS16276","GB","OVH SAS","11","Lab Vibrant","44469","socks5","4200","1","2023-05-25T12:46:36.009Z","100","1806","1807"
"177.128.120.85","elite","AS52870","BR","Disk Sistema Tele-Informatica Ltda- ME","280","Disk Sistema Tele-Informatica Ltda- ME","5678","socks4","474","1","2023-05-25T12:46:36.006Z","99","1729","1754"
"145.239.81.129","elite","AS16276","PL","OVH SAS","28","OVH Sp. z o. o","8011","socks5","2694","1","2023-05-25T12:46:36.011Z","100","1819","1819"
"103.70.159.130","elite","AS133720","IN","speednet","183","N/A","5678","socks4","4711","1","2023-05-25T12:46:35.806Z","99","1778","1787"
"177.38.5.201","elite","AS52964","BR","F?BIO MENDES DIAS LTDA ME","205","FÁBIO MENDES DIAS LTDA ME","4153","socks4","5000","1","2023-05-25T12:46:35.799Z","93","1688","1807"
"187.95.82.254","elite","AS262696","BR","Turbonet Telecomunicações","195","Turbonet Telecomunicações","3629","socks4","4683","1","2023-05-25T12:46:35.797Z","96","1772","1844"
"119.18.152.30","elite","AS55685","ID","PT. Jala Lintas Media","183","N/A","8080","socks4","4396","1","2023-05-25T12:46:33.102Z","99","1826","1840"
"203.150.113.239","elite","AS4618","TH","Internet Thailand Company Ltd.","183","INEXT Broadband Company Limited","14153","socks4","3294","2","2023-05-25T12:46:30.107Z","10","190","1853"
"102.176.160.70","elite","AS37612","GN","2nd RO","189","N/A","5678","socks4","3505","1","2023-05-25T12:46:30.109Z","59","1053","1793"
"86.57.174.152","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","49","Byfly Grodno Static","41455","socks4","4594","2","2023-05-25T12:46:30.104Z","99","1799","1819"
"109.73.189.7","elite","AS49924","IT","ECROM-MAIN","43","N/A","5678","socks4","4402","80","2023-05-25T12:46:30.200Z","63","1162","1838"
"46.227.37.65","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","1088","socks4","4303","2","2023-05-25T12:46:27.199Z","100","1723","1730"
"122.249.236.152","elite","AS4685","JP","ASAHI Net, Inc.","246","ASAHI","8080","socks4","2196","1","2023-05-25T12:46:27.297Z","99","1788","1804"
"103.95.197.233","elite","AS135918","VN","Viet Digital Technology Liability Company","203","DVS","9050","socks5","595","1","2023-05-25T12:46:27.210Z","98","1728","1768"
"46.227.38.129","elite","AS51155","PL","TB Telecom Sp. z o. o.","42","Telemedian","1088","socks4","5291","2","2023-05-25T12:46:27.110Z","100","1770","1776"
"221.132.18.38","elite","AS45899","VN","VNPT","292","Vietnam Posts and Telecommunications Group","80","socks4","4893","1","2023-05-25T12:46:27.307Z","100","1799","1808"
"192.154.194.99","elite","AS64200","US","Vivid-hosting LLC","141","Vivid-hosting LLC","9000","socks5","5098","1","2023-05-25T12:46:27.207Z","100","1768","1771"
"119.46.2.242","elite","AS7470","TH","True Internet Corporation CO. Ltd.","198","True Internet Co., Ltd.","4145","socks4","5099","1","2023-05-25T12:46:27.303Z","99","1741","1754"
"137.220.53.12","elite","AS20473","CA","The Constant Company","94","Vultr Holdings, LLC","10544","socks4","5217","1","2023-05-25T12:46:27.300Z","55","963","1762"
"14.102.20.53","elite","AS133647","IN","WORLDPHONE","163","N/A","5678","socks4","4906","1","2023-05-25T12:46:24.710Z","97","1789","1848"
"196.2.13.12","elite","AS25429","BI","CBINET Burundi","392","Cbinet","4153","socks4","4589","85","2023-05-25T12:46:24.497Z","88","1618","1836"
"154.72.85.214","elite","AS30844","TZ","Liquid Telecommunications Ltd","142","RAHA Ltd","4145","socks4","4697","1","2023-05-25T12:46:24.707Z","96","1690","1754"
"103.121.62.14","elite","AS138146","BD","North Bengal Online","283","North Bengal Online","5678","socks4","4194","1","2023-05-25T12:46:24.402Z","99","1775","1789"
"78.140.7.239","elite","AS31357","RU","Limited Company Information and Consulting Agency","95","Limited Company Information and Consulting Agency","40009","socks4","4410","3","2023-05-25T12:46:24.502Z","98","1821","1853"
"129.126.99.254","elite","AS17547","SG","M1 NET LTD","182","M1 NET LTD","4153","socks4","4302","1","2023-05-25T12:46:24.398Z","100","1736","1736"
"38.127.173.192","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","42908","socks4","4400","1","2023-05-25T12:46:20.697Z","100","1771","1775"
"110.78.149.89","elite","AS131090","TH","CAT-BB","182","N/A","4145","socks4","4499","1","2023-05-25T12:46:20.797Z","81","1490","1842"
